date,CAD,USD,CNY,EUR
2019-03-21,1.7529140219,1.3141373341,8.7937680323,1.15406809
2019-03-15,1.7699467307,1.3238892466,8.8886027044,1.1707545513
2019-03-14,1.768667574,1.325268691,8.9153799221,1.173323321
2019-03-04,1.75948703,1.3217137861,8.8586417954,1.1658408627
2019-03-13,1.7567536097,1.3161387983,8.8283651607,1.1644154634
2019-03-05,1.7503879201,1.3118645638,8.7935107344,1.1579703096
2019-03-25,1.7753800883,1.32242696,8.8763165884,1.1677059249
2019-03-06,1.7596836106,1.3149936024,8.8236594161,1.1631964639
2019-03-12,1.7541354693,1.3088397469,8.7808926809,1.1608334784
2019-03-11,1.7501159555,1.3038033395,8.7676252319,1.159554731
2019-03-07,1.7618770377,1.3124126688,8.8055426176,1.1644154634
2019-03-22,1.7644661777,1.3158691349,8.8331586913,1.1642798929
2019-03-20,1.7530134446,1.315948076,8.8101529903,1.1590171535
2019-03-01,1.7414619393,1.3240973385,8.8791178113,1.163223525
2019-03-26,1.7733505215,1.3232157506,8.8852689558,1.1719207782
2019-03-08,1.7576392527,1.3063267563,8.7830743263,1.1640765962
2019-03-19,1.7604152055,1.3276756908,8.9116051807,1.1689343994
2019-03-18,1.7667522764,1.3248890964,8.893999533,1.1674060238
